,AU,C1,PA,author.email,cited.references,DI,doc.delivery.number,eissn,SN,journal.iso,SO,keywords.plus,LA,month,number.of.cited.references,PN,orcid.numbers,PP,PU,research.areas,researcherid.numbers,times.cited,TI,DT,unique.id,usage.count..last.180.days.,usage.count.since.2013,VL,web.of.science.categories.,PY,RP,DB,JI,J9,TC,CR,AU_UN,AU1_UN,AU_UN_NR,SR_FULL,SR
han2022,"Han, Yu; Gan, Lu; Gong, Han; Han, Jiangang; Qiao, Weichuan; Xu, Lijie",,,,,,,,,,Biochar,,,,,,,,,,,,Photoactivation of peroxymonosulfate by wood pulp cellulose biochar/g-C3N4 composite for diclofenac degradation: the radical and nonradical pathways,,,,,4,,,,,,,,,,,,,
zhao2022,"Zhao, Zhipeng; Wang, Bing; Theng, Benny K. G.; Lee, Xinqing; Zhang, Xueyang; Chen, Miao; Xu, Peng",,,,,,,,,,Biochar,,,,,,,,,,,,"Removal performance, mechanisms, and influencing factors of biochar for air pollutants: a critical review",,,,,4,,,,,,,,,,,,,
zhu2022,"Zhu, Hongxia; Liu, Xianyu; Jiang, Yuan; Lin, Daohui; Yang, Kun",,,,,,,,,,Biochar,,,,,,,,,,,,"Sorption kinetics of 1,3,5-trinitrobenzene to biochars produced at various temperatures",,,,,4,,,,,,,,,,,,,
yao2022,"Yao, Bin; Chen, Xia; Zhou, Kun; Luo, Zirui; Li, Peipei; Yang, Zihui; Zhou, Yaoyu",,,,,,,,,,Biochar,,,,,,,,,,,,p-Arsanilic acid decontamination over a wide pH range using biochar-supported manganese ferrite material as an effective persulfate catalyst: Performances and mechanisms,,,,,4,,,,,,,,,,,,,
wang2022b,"Wang, Bingyu; Shang, Cenyao; Xie, Huifang; Sun, Haijun; Zhang, Qiang; Xue, Lihong; Tack, Filip M. G.; Hou, Deyi; Feng, Yanfang; Rinklebe, Jörg",,,,,,,,,,Biochar,,,,,,,,,,,,Unraveling natural aging-induced properties change of sludge-derived hydrochar and enhanced cadmium sorption site heterogeneity,,,,,4,,,,,,,,,,,,,
gao2022,"Gao, Yurong; Fang, Zheng; Van Zwieten, Lukas; Bolan, Nanthi; Dong, Da; Quin, Bert F.; Meng, Jun; Li, Fangbai; Wu, Fengchang; Wang, Hailong; Chen, Wenfu",,,,,,,,,,Biochar,,,,,,,,,,,,A critical review of biochar-based nitrogen fertilizers and their effects on crop production and the environment,,,,,4,,,,,,,,,,,,,
chen2022a,"Chen, Hanbo; Gao, Yurong; Li, Jianhong; Sun, Chenghua; Sarkar, Binoy; Bhatnagar, Amit; Bolan, Nanthi; Yang, Xing; Meng, Jun; Liu, Zhongzhen; Hou, Hong; Wong, Jonathan W. C.; Hou, Deyi; Chen, Wenfu; Wang, Hailong",,,,,,,,,,Biochar,,,,,,,,,,,,Insights into simultaneous adsorption and oxidation of antimonite [Sb(III)] by crawfish shell-derived biochar: spectroscopic investigation and theoretical calculations,,,,,4,,,,,,,,,,,,,
yang2022,"Yang, Ruiying; Guo, Xiran; Wu, Haotian; Kang, Weizhi; Song, Kun; Li, Yaqiong; Huang, Xiubing; Wang, Ge",,,,,,,,,,Biochar,,,,,,,,,,,,Anisotropic hemp-stem-derived biochar supported phase change materials with efficient solar-thermal energy conversion and storage,,,,,4,,,,,,,,,,,,,
hui2022,"Hui, Bin; Chen, Hongjiao; Zhou, Chengfeng; Cai, Liping; Zhang, Kewei; Quan, Fengyu; Yang, Dongjiang",,,,,,,,,,Biochar,,,,,,,,,,,,Biochar aerogel-based electrocatalyst towards efficient oxygen evolution in acidic media,,,,,4,,,,,,,,,,,,,
yang2022a,"Yang, Yuheng; Chen, Tongtong; Xiao, Ran; Chen, Xinping; Zhang, Tong",,,,,,,,,,Biochar,,,,,,,,,,,,A quantitative evaluation of the biochar’s influence on plant disease suppress: a global meta-analysis,,,,,4,,,,,,,,,,,,,
li2022c,"Li, Shasha; Shao, Liming; Zhang, Hua; Lu, Xuemin; Lü, Fan; He, Pinjing",,,,,,,,,,Biochar,,,,,,,,,,,,A nanoscale observation to explain the discrepancy of electron exchange capacities between biochar containing comparable surface redox-active moieties,,,,,4,,,,,,,,,,,,,
wei2022,"Wei, Zhijun; Senbayram, Mehmet; Zhao, Xu; Li, Chenglin; Jin, Ke; Wu, Min; Rahman, M. Mizanur; Shan, Jun; Yan, Xiaoyuan",,,,,,,,,,Biochar,,,,,,,,,,,,Biochar amendment alters the partitioning of nitrate reduction by significantly enhancing DNRA in a paddy field,,,,,4,,,,,,,,,,,,,
zhao2022a,"Zhao, Qingzhou; Wang, Yanfen; Xu, Zhihong; Yun, Juanli; Yu, Zhisheng",,,,,,,,,,Biochar,,,,,,,,,,,,Unravelling how biochar and dung amendments determine the functional structure and community assembly related to methane metabolisms in grassland soils,,,,,4,,,,,,,,,,,,,
bi2022,"Bi, Ruiyu; Zhang, Qianqian; Zhan, Liping; Xu, Xintong; Zhang, Xi; Dong, Yubing; Yan, Xiaoyuan; Xiong, Zhengqin",,,,,,,,,,Biochar,,,,,,,,,,,,Biochar and organic substitution improved net ecosystem economic benefit in intensive vegetable production,,,,,4,,,,,,,,,,,,,
yang2022b,"Yang, Bowen; Dai, Jiawei; Zhao, Yuan; Wu, Jingwei; Ji, Caiya; Zhang, Yuhu",,,,,,,,,,Biochar,,,,,,,,,,,,"Advances in preparation, application in contaminant removal, and environmental risks of biochar-based catalysts: a review",,,,,4,,,,,,,,,,,,,
guo2022,"Guo, Haixin; Ogawa, Sohei; Isoda, Yukiya; Shen, Feng; Smith, Richard Lee",,,,,,,,,,Biochar,,,,,,,,,,,,Weak-acid biochar catalyst prepared from mechanochemically-activated biomass and humic acid for production of 5-hydroxymethylfurfural,,,,,4,,,,,,,,,,,,,
fang2022,"Fang, Yueru; Ali, Amjad; Gao, Yuxi; Zhao, Peng; Li, Ronghua; Li, Xianxian; Liu, Junxi; Luo, Yuan; Peng, Yaru; Wang, Hailong; Liu, Hongbin; Zhang, Zengqiang; Pan, Junting",,,,,,,,,,Biochar,,,,,,,,,,,,Preparation and characterization of MgO hybrid biochar and its mechanism for high efficient recovery of phosphorus from aqueous media,,,,,4,,,,,,,,,,,,,
liu2022,"Liu, Yong; Ma, Jie; Gao, Jiaoli; Chen, Xingyi; Ouyang, Xiaoxue; Weng, Liping; Li, Haiming; Chen, Yali; Li, Yongtao",,,,,,,,,,Biochar,,,,,,,,,,,,"Stability and interaction of biochar and iron  mineral nanoparticles: effect of pH, ionic strength, and dissolved organic matter",,,,,4,,,,,,,,,,,,,
lu2022,"Lu, Yin; Cai, Yawen; Zhang, Sai; Zhuang, Li; Hu, Baowei; Wang, Suhua; Chen, Jianrong; Wang, Xiangke",,,,,,,,,,Biochar,,,,,,,,,,,,"Application of biochar-based photocatalysts for adsorption-(photo)degradation/reduction of environmental contaminants: mechanism, challenges and perspective",,,,,4,,,,,,,,,,,,,
chen2022b,"Chen, Xiaomeng; Du, Zhuang; Liu, Dan; Wang, Liqin; Pan, Chaonan; Wei, Zimin; Jia, Liming; Zhao, Ran",,,,,,,,,,Biochar,,,,,,,,,,,,Biochar mitigates the biotoxicity of heavy metals in livestock manure during composting,,,,,4,,,,,,,,,,,,,
jager2022,"de Jager, Megan; Schröter, Frank; Wark, Michael; Giani, Luise",,,,,,,,,,Biochar,,,,,,,,,,,,The stability of carbon from a maize-derived hydrochar as a function of fractionation and hydrothermal carbonization temperature in a Podzol,,,,,4,,,,,,,,,,,,,
yan2022,"Yan, Bing; Zheng, Jiaojiao; Feng, Li; Du, Cheng; Jian, Shaoju; Yang, Weisen; Wu, Yimin A.; Jiang, Shaohua; He, Shuijian; Chen, Wei",,,,,,,,,,Biochar,,,,,,,,,,,,Wood-derived biochar as thick electrodes for high-rate performance supercapacitors,,,,,4,,,,,,,,,,,,,
sun2022,"Sun, Enhui; Zhang, Yanyang; Xiao, Qingbo; Li, Huayong; Qu, Ping; Yong, Cheng; Wang, Bingyu; Feng, Yanfang; Huang, Hongying; Yang, Linzhang; Hunter, Charles",,,,,,,,,,Biochar,,,,,,,,,,,,Formable porous biochar loaded with La-Fe(hydr)oxides/montmorillonite for efficient removal of phosphorus in wastewater: process and mechanisms,,,,,4,,,,,,,,,,,,,
chen2022c,"Chen, Hao; Yuan, Jiahui; Chen, Guanglei; Zhao, Xu; Wang, Shenqiang; Wang, Dengjun; Wang, Lei; Wang, Yujun; Wang, Yu",,,,,,,,,,Biochar,,,,,,,,,,,,Long-term biochar addition significantly decreases rice rhizosphere available phosphorus and its release risk to the environment,,,,,4,,,,,,,,,,,,,
dong2022,"Dong, Ying; Yu, Yuanchun; Wang, Ruhai; Chang, E.; Hong, Zhineng; Hua, Hui; Liu, Hui; Jiang, Jun; Xu, Renkou",,,,,,,,,,Biochar,,,,,,,,,,,,Insights on mechanisms of aluminum phytotoxicity mitigation by canola straw biochars from different regions,,,,,4,,,,,,,,,,,,,
yan2022a,"Yan, Sihua; Zhang, Shaoliang; Yan, Pengke; Aurangzeib, Muhammad",,,,,,,,,,Biochar,,,,,,,,,,,,Effect of biochar application method and amount on the soil quality and maize yield in Mollisols of Northeast China,,,,,4,,,,,,,,,,,,,
zhang2022,"Zhang, Wei; Cho, Yoora; Vithanage, Meththika; Shaheen, Sabry M.; Rinklebe, Jörg; Alessi, Daniel S.; Hou, Chia-Hung; Hashimoto, Yohey; Withana, Piumi Amasha; Ok, Yong Sik",,,,,,,,,,Biochar,,,,,,,,,,,,Arsenic removal from water and soils using pristine and modified biochars,,,,,4,,,,,,,,,,,,,
zhang2022a,"Zhang, Yuying; He, Mingjing; Wang, Lei; Yan, Jianhua; Ma, Bin; Zhu, Xiaohong; Ok, Yong Sik; Mechtcherine, Viktor; Tsang, Daniel C. W.",,,,,,,,,,Biochar,,,,,,,,,,,,Biochar as construction materials for achieving carbon neutrality,,,,,4,,,,,,,,,,,,,
leng2022,"Leng, Lijian; Yang, Lihong; Lei, Xinni; Zhang, Weijin; Ai, Zejian; Yang, Zequn; Zhan, Hao; Yang, Jianping; Yuan, Xingzhong; Peng, Haoyi; Li, Hailong",,,,,,,,,,Biochar,,,,,,,,,,,,"Machine learning predicting and engineering the yield, N content, and specific surface area of biochar derived from pyrolysis of biomass",,,,,4,,,,,,,,,,,,,
sun2022a,"Sun, Xiaojun; Fu, Hongrui; Bao, Mutai; Liu, Wei; Luo, Chengyi; Li, Yang; Li, Yiming; Lu, Jinren",,,,,,,,,,Biochar,,,,,,,,,,,,Development of a new hydrophobic magnetic biochar for removing oil spills on the water surface,,,,,4,,,,,,,,,,,,,
chen2022d,"Chen, Liang; Zhang, Yuying; Labianca, Claudia; Wang, Lei; Ruan, Shaoqin; Poon, Chi Sun; Ok, Yong Sik; Tsang‬, Daniel C. W.",,,,,,,,,,Biochar,,,,,,,,,,,,Carbon-negative cement-bonded biochar particleboards,,,,,4,,,,,,,,,,,,,
liao2022a,"Liao, Wenxi; Sifton, Melanie A.; Thomas, Sean C.",,,,,,,,,,Biochar,,,,,,,,,,,,Biochar granulation reduces substrate erosion on green roofs,,,,,4,,,,,,,,,,,,,
zhang2022b,"Zhang, Chao; Yang, Rui; Sun, Meichen; Zhang, Shicheng; He, Mingjing; Tsang, Daniel C. W.; Luo, Gang",,,,,,,,,,Biochar,,,,,,,,,,,,Wood waste biochar promoted anaerobic digestion of food waste: focusing on the characteristics of biochar and microbial community analysis,,,,,4,,,,,,,,,,,,,
zeng2022a,"Zeng, Yu; Li, Tai; Ding, Yingzhi; Fang, Guodong; Wang, Xiaolei; Ye, Bo; Ge, Liqiang; Gao, Juan; Wang, Yujun; Zhou, Dongmei",,,,,,,,,,Biochar,,,,,,,,,,,,Biochar-supported nano-scale zerovalent iron activated persulfate for remediation of aromatic hydrocarbon-contaminated  soil: an in-situ pilot-scale study,,,,,4,,,,,,,,,,,,,
yun2022,"Yun, Xiaotong; Ma, Yan; Zheng, Hao; Zhang, Yaru; Cui, Biying; Xing, Baoshan",,,,,,,,,,Biochar,,,,,,,,,,,,Pb(II) adsorption by biochar from co-pyrolysis of corn stalks and alkali-fused fly ash,,,,,4,,,,,,,,,,,,,
che2022,"Che, Naiju; Liu, Na; Li, Yinhui; Li, Chao; Liu, Yanli; Li, Chengliang",,,,,,,,,,Biochar,,,,,,,,,,,,"Three dimensional BC/rGA aerogel: preparation, characterization, and adsorption of Cr(VI)",,,,,4,,,,,,,,,,,,,
nirukshan2022,"Nirukshan, Gertrude Scynthya; Ranasinghe, Sanathanie; Sleutel, Steven",,,,,,,,,,Biochar,,,,,,,,,,,,The effect of biochar on mycorrhizal fungi mediated nutrient uptake by coconut (Cocos nucifera L.) seedlings grown on a Sandy Regosol,,,,,4,,,,,,,,,,,,,
chen2022e,"Chen, Hao; Li, Deping; Mašek, Ondřej; Zhai, Ying; Rong, Guoqiang; Xu, Xiaoyun; Cao, Xinde; Zhao, Ling",,,,,,,,,,Biochar,,,,,,,,,,,,Simultaneous dissipation of trichloroethene and arsenic from co-contaminated groundwater by coupling biodechlorination and biodetoxification with assistance of biochar,,,,,4,,,,,,,,,,,,,
jung2022,"Jung, Sungyup; Kim, Minyoung; Kim, Yong-Hyun; Lin, Kun-Yi Andrew; Chen, Wei-Hsin; Tsang, Yiu Fai; Kwon, Eilhann E.",,,,,,,,,,Biochar,,,,,,,,,,,,Use of sewage sludge biochar as a catalyst in production of biodiesel through thermally induced transesterification,,,,,4,,,,,,,,,,,,,
asiloglu2022,"Asiloglu, Rasit",,,,,,,,,,Biochar,,,,,,,,,,,,Biochar-microbe interaction: more protist research is needed,,,,,4,,,,,,,,,,,,,
karunaratne2022,"Karunaratne, Tharindu N.; Nayanathara, R. M. Oshani; Navarathna, Chanaka M.; Rodrigo, Prashan M.; Thirumalai, Rooban V. K. G.; Pittman, Charles U.; Kim, Yunsang; Mlsna, Todd; Zhang, Jilei; Zhang, Xuefeng",,,,,,,,,,Biochar,,,,,,,,,,,,Pyrolytic synthesis of graphene-encapsulated zero-valent iron nanoparticles supported on biochar for heavy metal removal,,,,,4,,,,,,,,,,,,,
yang2023,"Yang, Bowen; Dai, Jiawei; Zhao, Yuan; Wang, Zhanchao; Wu, Jingwei; Ji, Caiya; Zhang, Yuhu; Pu, Xiao",,,,,,,,,,Biochar,,,,,,,,,,,,Synergy effect between tetracycline and Cr(VI) on combined pollution systems driving biochar-templated Fe3O4@SiO2/TiO2/g-C3N4 composites for enhanced removal of pollutants,,,,,5,,,,,,,,,,,,,
zheng2023,"Zheng, Tong; Ouyang, Shaohu; Zhou, Qixing",,,,,,,,,,Biochar,,,,,,,,,,,,"Synthesis, characterization, safety design, and application of NPs@BC for contaminated soil remediation and sustainable agriculture",,,,,5,,,,,,,,,,,,,
huang2022,"Huang, Dandan; Wang, Ning; Bai, Xinyue; Chen, Yuke; Xu, Qiyong",,,,,,,,,,Biochar,,,,,,,,,,,,"The influencing mechanism of O2, H2O, and CO2 on the H2S removal of food waste digestate-derived biochar with abundant minerals",,,,,4,,,,,,,,,,,,,
li2023,"Li, Jiaxing; Li, Hongli; Xu, Haomiao; Hong, Qinyuan; Ji, Leipeng; Liu, Zhisong; Qiu, Yixiang; Huang, Wenjun; Yan, Naiqiang; Qu, Zan",,,,,,,,,,Biochar,,,,,,,,,,,,Regulated adsorption sites using atomically single cluster over biochar for efficient elemental mercury uptake,,,,,5,,,,,,,,,,,,,
jiang2023,"Jiang, Mengyuan; He, Lizhi; Niazi, Nabeel Khan; Wang, Hailong; Gustave, Williamson; Vithanage, Meththika; Geng, Kun; Shang, Hua; Zhang, Xiaokai; Wang, Zhenyu",,,,,,,,,,Biochar,,,,,,,,,,,,Nanobiochar for the remediation of contaminated soil and water: challenges and opportunities,,,,,5,,,,,,,,,,,,,
wang2023,"Wang, Zhe; Xu, Yilin; Yang, Tong; Liu, Yongqi; Zheng, Tingting; Zheng, Chunli",,,,,,,,,,Biochar,,,,,,,,,,,,"Effects of biochar carried microbial agent on compost quality, greenhouse gas emission and bacterial community during sheep manure composting",,,,,5,,,,,,,,,,,,,
wu2023,"Wu, Yupeng; Li, Qinfen; Zheng, Yong; Xiong, Xingjun; Chen, Yunfeng; Shaaban, Muhammad; Hu, Ronggui",,,,,,,,,,Biochar,,,,,,,,,,,,"Optimizing biochar addition for vermicomposting: a comprehensive evaluation of earthworms’ activity, N2O emissions and compost quality",,,,,5,,,,,,,,,,,,,
wu2023a,"Wu, Ping; Singh, Bhupinder Pal; Wang, Hailong; Jia, Zhifen; Wang, Yujun; Chen, Wenfu",,,,,,,,,,Biochar,,,,,,,,,,,,"Bibliometric analysis of biochar research in 2021: a critical review for development, hotspots and trend directions",,,,,5,,,,,,,,,,,,,
zhao2023,"Zhao, Feng; Mu, Bin; Zhang, Tenghe; Dong, Chunjuan; Zhu, Yongfeng; Zong, Li; Wang, Aiqin",,,,,,,,,,Biochar,,,,,,,,,,,,Synthesis of biochar/clay mineral nanocomposites using oil shale semi-coke waste for removal of organic pollutants,,,,,5,,,,,,,,,,,,,
xu2023,"Xu, Ao; Tian, Yuan; Chen, Guanghui; Gao, Dawen; Yu, Deshuang; Liang, Hong; Wang, Yanyan; Zhang, Qiang",,,,,,,,,,Biochar,,,,,,,,,,,,A novel strategy for a reinforced anammox process with iron-modified Enteromorpha prolifera biochar,,,,,5,,,,,,,,,,,,,
kumar2023,"Kumar, Abhishek; Bhattacharya, Tanushree; Shaikh, Wasim Akram; Roy, Arpita; Chakraborty, Sukalyan; Vithanage, Meththika; Biswas, Jayanta Kumar",,,,,,,,,,Biochar,,,,,,,,,,,,Multifaceted applications of biochar in environmental management: a bibliometric profile,,,,,5,,,,,,,,,,,,,
yang2023a,"Yang, Fang; Xue, Yanan; Gao, Yue; Zhu, Qing; Wang, Cuiping; Sun, Hongwen",,,,,,,,,,Biochar,,,,,,,,,,,,Biochar-derived dissolved organic matters influencing bacterium characteristics during biodegradation of sulfamethoxazole and chloramphenicol under alternation of visible and avoiding light,,,,,5,,,,,,,,,,,,,
ko2023,"Ko, Vivien Yoonhee; Wang, Jinsheng; He, Ian; Ryan, David; Zhang, Xiaojie; Lan, Christopher",,,,,,,,,,Biochar,,,,,,,,,,,,Adsorption of methane on biochar for emission reduction in oil and gas fields,,,,,5,,,,,,,,,,,,,
huang2023,"Huang, Junxia; Feng, Yanfang; Xie, Huifang; Wu, Ping; Wang, Minli; Wang, Bingyu; Zhang, Qiang; Zhang, Shicheng; Liu, Zhengang",,,,,,,,,,Biochar,,,,,,,,,,,,"A bibliographic study reviewing the last decade of hydrochar in environmental application: history, status quo, and trending research paths",,,,,5,,,,,,,,,,,,,
zhou2023,"Zhou, Dan; Bao, Xingyue; Chen, Zhe; Liu, Rui; Huang, Mingzheng; Xia, Yonglian; Li, Chao; Huang, Yi",,,,,,,,,,Biochar,,,,,,,,,,,,Experimental and numerical investigations of biochar-facilitated Cd2+ transport in saturated porous media: role of solution pH and ionic strength,,,,,5,,,,,,,,,,,,,
peng2023,"Peng, Yaru; Luo, Yuan; Li, Yimeng; Azeem, Muhammad; Li, Ronghua; Feng, Chuchu; Qu, Guangzhou; Ali, Esmat F.; Hamouda, Mohamed A.; Hooda, Peter S.; Rinklebe, Jörg; Smith, Ken; Zhang, Zengqiang; Shaheen, Sabry M.",,,,,,,,,,Biochar,,,,,,,,,,,,Effect of corn pre-puffing on the efficiency of MgO-engineered biochar for phosphorus recovery from livestock wastewater: mechanistic investigations and cost benefit analyses,,,,,5,,,,,,,,,,,,,
zhang2023,"Zhang, Meng; Luo, Yaqi; Zhu, Yitao; Zhang, Haiyun; Wang, Xilong; Li, Wei; Li, Pingping; Han, Jiangang",,,,,,,,,,Biochar,,,,,,,,,,,,Insights into the mechanisms underlying the biodegradation of phenanthrene in biochar-amended soil: from bioavailability to soil microbial communities,,,,,5,,,,,,,,,,,,,
feng2023,"Feng, Chuchu; Zhang, Lan; Zhang, Xiu; Li, Jingyu; Li, Yimeng; Peng, Yaru; Luo, Yuan; Li, Ronghua; Gao, Bin; Hamouda, Mohamed A.; Smith, Ken; Ali, Esmat F.; Lee, Sang Soo; Zhang, Zengqiang; Rinklebe, Jörg; Shaheen, Sabry M.",,,,,,,,,,Biochar,,,,,,,,,,,,Bio-assembled MgO-coated tea waste biochar efficiently decontaminates phosphate from water and kitchen waste fermentation liquid,,,,,5,,,,,,,,,,,,,
ajeng2023,"Ajeng, Aaronn Avit; Abdullah, Rosazlin; Ling, Tau Chuan",,,,,,,,,,Biochar,,,,,,,,,,,,Biochar-Bacillus consortium for a sustainable agriculture: physicochemical and soil stability analyses,,,,,5,,,,,,,,,,,,,
jia2023,"Jia, Xiuxiu; Zhao, Xue; Zhou, Yingtang; Li, Fan; Liu, Wen; Huang, Yimin; Zhang, Hucai; Ma, Jinxing; Hu, Guangzhi",,,,,,,,,,Biochar,,,,,,,,,,,,"Tri-functional lanthanum-based biochar for efficient phosphorus recovery, bacterial inhibition, and soil fertility enhancement",,,,,5,,,,,,,,,,,,,
zhang2023a,"Zhang, Congyu; Wang, Meng; Chen, Wei-Hsin H.; Zhang, Ying; Pétrissans, Anelie; Pétrissans, Mathieu; Ho, Shih-Hsin H.",,,,,,,,,,Biochar,,,,,,,,,,,,Superhydrophobic and superlipophilic biochar produced from microalga torrefaction and modification for upgrading fuel properties,,,,,5,,,,,,,,,,,,,
nan2023,"Nan, Qiong; Tang, Lepeng; Chi, Wenchen; Waqas, Muhammad; Wu, Weixiang",,,,,,,,,,Biochar,,,,,,,,,,,,The implication from six years of field experiment: the aging process induced lower rice production even with a high amount of biochar application,,,,,5,,,,,,,,,,,,,
wang2023a,"Wang, Yang; Lin, Qimei; Liu, Zhongzhen; Liu, Kesi; Wang, Xiang; Shang, Jianying",,,,,,,,,,Biochar,,,,,,,,,,,,Salt-affected marginal lands: a solution for biochar production,,,,,5,,,,,,,,,,,,,
xiong2023,"Xiong, Sheng; Zeng, Hao; Deng, Yaocheng; Tang, Rongdi; Wang, Jiajia; Li, Ling; Zhou, Zhanpeng; Gong, Daoxin",,,,,,,,,,Biochar,,,,,,,,,,,,Unveiling the synergistic effect of internal Fe single atoms and introduced Fe3C in Enteromorpha derived biochar with enhanced peroxymonosulfate activation property towards nitenpyram removal,,,,,5,,,,,,,,,,,,,
xu2023a,"Xu, Min; Ma, Jing; Zhang, Xiao-Hong; Yang, Gang; Long, Lu-Lu; Chen, Chao; Song, Chun; Wu, Jun; Gao, Peng; Guan, Dong-Xing",,,,,,,,,,Biochar,,,,,,,,,,,,Biochar-bacteria partnership based on microbially induced calcite precipitation improves Cd immobilization and soil function,,,,,5,,,,,,,,,,,,,
wang2023b,"Wang, Shulian; Huang, Yan; Ma, Shuanglong; Zhan, Sihui; Wang, Jingzhen; Gao, Boqiang; Tang, Xiaodan; Zhu, Qiuhui; Xu, Shengjun; Zhuang, Xuliang",,,,,,,,,,Biochar,,,,,,,,,,,,A green strategy for porous biochar fabrication with superior capacity for peroxydisulfate activation to degrade sulfadiazine: the cooperative role of C-sp3 and specific surface area,,,,,5,,,,,,,,,,,,,
wang2023c,"Wang, Hong-Rui; Zhou, Wen-Tao; Xiong, Rui; Zhong, Kang-Yu; He, Jing; Ma, Xin; Wu, Qing; Long, Pan; Fu, Zhi-Qiang",,,,,,,,,,Biochar,,,,,,,,,,,,A theoretical study of the effect and mechanism of FeN3-doped biochar for greenhouse gas mitigation,,,,,5,,,,,,,,,,,,,
zhang2023b,"Zhang, Wentao; Chen, Ronghua; Li, Jie; Huang, Tianyin; Wu, Bingdang; Ma, Jun; Wen, Qingqi; Tan, Jie; Huang, Wenguang",,,,,,,,,,Biochar,,,,,,,,,,,,Synthesis optimization and adsorption modeling of biochar for pollutant removal via machine learning,,,,,5,,,,,,,,,,,,,
ding2023,"Ding, Xinyu; Li, Guitong; Zhao, Xiaorong; Lin, Qimei; Wang, Xiang",,,,,,,,,,Biochar,,,,,,,,,,,,Biochar application significantly increases soil organic carbon under conservation tillage: an 11-year field experiment,,,,,5,,,,,,,,,,,,,
